id,Summary,Component,Status,Owner,Type,Priority,Milestone,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Sponsor,Reporter,Keywords
24070,Generate an event if more than X relays join,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Normal,,30 oct. 2017 14:47:33,13 feb. 2018 18:57:11,,#23937,0.2,,,irl,
24071,Generate an event if the most used Tor version changed,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Normal,,30 oct. 2017 14:49:00,13 feb. 2018 18:57:11,,#23937,0.2,,,irl,
24073,Generate an event if there is a major relay outage,Metrics/Bot,assigned,metrics-team,enhancement,Low,,,Normal,,30 oct. 2017 14:51:58,13 feb. 2018 18:57:11,,#23937,0.2,,,irl,
24495,Add aggregated summary documents,Metrics/Onionoo,new,metrics-team,enhancement,Low,,,Normal,,2 dic. 2017 15:27:36,2 dic. 2017 15:28:15,,,,,,irl,
24858,Further tweak metrics timeline events underneath graphs and on news page,Metrics/Website,new,metrics-team,enhancement,Low,,,Normal,,10 ene. 2018 15:48:56,10 ene. 2018 15:48:56,,,,,,karsten,
24865,Use icons on Consensus Health,Metrics/Consensus Health,new,tom,enhancement,Low,,,Normal,,11 ene. 2018 01:48:19,2 abr. 2018 08:48:49,,,,,,tom,
24932,Onionoo should stop parsing untrusted descriptors,Metrics/Onionoo,new,metrics-team,defect,Low,,,Minor,,18 ene. 2018 12:41:29,18 ene. 2018 13:35:39,,,,,,teor,
24941,Add first and last months to CollecTor's Available Descriptors table,Metrics/Website,new,metrics-team,enhancement,Low,,,Normal,,19 ene. 2018 11:28:57,19 ene. 2018 11:28:57,,,,,,karsten,
25176,Combine fixed-time history objects into a single object with an x axis for time,Metrics/Onionoo,new,metrics-team,enhancement,Low,,,Normal,,8 feb. 2018 10:31:22,8 feb. 2018 10:31:22,,,,,,karsten,
25217,metrics-base: Update checkstyle to debian stable,Metrics,new,metrics-team,enhancement,Low,,,Minor,,12 feb. 2018 10:06:00,29 mar. 2018 08:27:19,,,,,,iwakeh,
25274,Consolidate Onionoo's API,Metrics/Onionoo,new,metrics-team,enhancement,Low,,,Normal,,16 feb. 2018 10:04:38,16 feb. 2018 19:25:39,,,,,,karsten,
25443,Prepare for java 9,Metrics,new,metrics-team,enhancement,Low,,,Normal,,7 mar. 2018 17:16:26,10 mar. 2018 06:58:42,,,,,,iwakeh,
25542,Find an alternative to MaxMind's GeoLite2 City database,Metrics/Ideas,new,metrics-team,enhancement,Low,,,Normal,,19 mar. 2018 10:25:06,15 oct. 2018 10:01:58,,,,,,karsten,metrics-geoip
25571,Add an iCalendar feed of metrics events,Metrics/Website,new,metrics-team,enhancement,Low,,,Normal,,21 mar. 2018 16:05:46,21 mar. 2018 16:05:46,,,,,,irl,
25589,Add test to ensure that output of ATOM feed is valid XML,Metrics/Website,new,metrics-team,enhancement,Low,,,Normal,,22 mar. 2018 15:18:07,22 mar. 2018 15:18:07,,,,,,irl,
26964,support custom column selection for search result overview,Metrics/Relay Search,new,metrics-team,enhancement,Low,,,Normal,,28 jul. 2018 10:22:56,30 jul. 2018 14:28:32,,,,,,nusenu,
28317,Relay Search flags are vertical on Tor Browser 8.0.2 on macOS,Metrics/Relay Search,new,metrics-team,defect,Low,,,Normal,,5 nov. 2018 00:01:44,1 feb. 2019 10:20:56,,,,,,teor,
28871,Relay with 6 weeks downtime only has 6_months and 5_years bandwidth graphs,Metrics/Library,new,metrics-team,defect,Low,,,Normal,,17 dic. 2018 07:59:59,17 dic. 2018 07:59:59,,,,,,karsten,
28888,The Relay Search Results table doesn't show the IPv6 capability of a bridge,Metrics/Relay Search,reopened,metrics-team,defect,Low,,,Normal,,17 dic. 2018 22:14:06,1 feb. 2019 10:43:38,,#24264,,,,toralf,
29370,Measure mode with arbitrary tgen traffic models,Metrics/Onionperf,assigned,metrics-team,enhancement,Low,,,Normal,,7 feb. 2019 08:55:53,7 feb. 2019 09:00:48,,,,,,irl,
29636,Document how we estimate users by transport by country,Metrics/Website,new,metrics-team,defect,Low,,,Normal,,2 mar. 2019 05:39:35,4 mar. 2019 08:34:09,,#24422,,,,arma,
30260,Default date picker to latest available date,Metrics/ExoneraTor,new,metrics-team,enhancement,Low,,,Normal,,22 abr. 2019 16:14:14,25 abr. 2019 08:40:35,,,,,,cypherpunks,
21994,Consensus Health: what is the distribution of a bandwidth authority's measurements?,Metrics/Consensus Health,new,tom,enhancement,Very Low,,,Normal,,19 abr. 2017 06:58:08,6 ago. 2018 12:31:02,,,,,,teor,
23939,Create an XMPP interface for querying relay/bridge details,Metrics/Bot,assigned,metrics-team,enhancement,Very Low,,,Minor,,21 oct. 2017 17:56:33,13 feb. 2018 19:05:26,,,3,,,irl,
24463,Advanced search: Add a client auto-completion filter to AS field,Metrics/Relay Search,new,metrics-team,enhancement,Very Low,,,Normal,,28 nov. 2017 22:18:57,9 abr. 2018 15:10:10,,,,,,cypherpunks,
30096,rougmnvswfsmd4dq.onion connects subressources from non .onion  onionoo.torproject.org,Metrics/Relay Search,new,metrics-team,defect,Very Low,,,Trivial,,9 abr. 2019 03:28:32,10 abr. 2019 07:34:56,,,,,,cypherpunks,
