id,Summary,Component,Status,Owner,Type,Priority,Milestone,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Sponsor,Reporter,Keywords
27187,Possible for inconsistency between summary and details with AS number,Metrics/Onionoo,new,metrics-team,defect,Medium,,,Normal,,17 ago. 2018 13:45:42,27 ago. 2018 14:36:47,,,,,,irl,
27235,add route_origin_rpki_validity field,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,21 ago. 2018 07:56:09,21 ago. 2018 08:06:51,,,,,,nusenu,
27572,metrics.tpo glossary bandwidth terms,Metrics/Statistics,new,metrics-team,defect,Medium,,,Normal,,8 sep. 2018 12:27:17,11 sep. 2018 12:43:02,,,,,,juga,
27714,support more recent lookups,Metrics/ExoneraTor,new,metrics-team,enhancement,Medium,,,Normal,,14 sep. 2018 18:34:30,15 sep. 2018 17:09:24,,,,,,exonerator,
27715,support relative time in timestamp parameter,Metrics/ExoneraTor,new,metrics-team,enhancement,Medium,,,Normal,,14 sep. 2018 18:41:03,15 sep. 2018 17:16:09,,,,,,exonerator,
27716,Out of memory when loading in multiple years of relay descriptors,Metrics/CollecTor,new,metrics-team,defect,Medium,,,Normal,,14 sep. 2018 19:53:45,15 sep. 2018 16:52:02,,,,,,irl,
27840,Update translations,Metrics/ExoneraTor,needs_information,metrics-team,enhancement,Medium,,,Normal,,24 sep. 2018 14:54:38,1 nov. 2018 14:33:44,,,,,,irl,
27925,Permanent link on /exonerator.html? is http,Metrics/ExoneraTor,new,metrics-team,defect,Medium,,,Normal,,1 oct. 2018 17:25:47,15 oct. 2018 19:37:16,,,,,,modik,
27980,Missing server descriptors in recent/ but not in out/,Metrics/CollecTor,needs_information,karsten,defect,Medium,,,Normal,,8 oct. 2018 14:07:51,1 feb. 2019 10:21:47,,,,,,karsten,
27981,"3 days young relay is not shown in 1-month graph, but in 6-month graph",Metrics/Relay Search,new,metrics-team,defect,Medium,,,Normal,,8 oct. 2018 20:37:45,10 oct. 2018 20:43:20,,,,,,toralf,
28003,Consider refactoring various code that makes descriptors persistent,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,11 oct. 2018 12:30:04,11 oct. 2018 12:30:04,,,,,,karsten,
28048,Metrics: Allow to search for relays per continent,Metrics/Relay Search,new,metrics-team,enhancement,Medium,,,Normal,,15 oct. 2018 15:51:55,19 oct. 2018 21:30:05,,,,,,traumschule,
28114,Improve getter names for boolean fields in metrics-lib,Metrics/Library,new,metrics-team,enhancement,Medium,,,Normal,,18 oct. 2018 23:54:44,30 oct. 2018 23:19:20,,,,,,efgyirfe784,
28271,Check OnionPerf instances from Nagios,Metrics/Onionperf,accepted,irl,task,Medium,,,Normal,,31 oct. 2018 21:11:01,16 may. 2019 11:23:59,,#28322,,,,irl,
28276,towards an Exception Reports framework,Metrics/Ideas,new,metrics-team,enhancement,Medium,,,Normal,,1 nov. 2018 13:50:58,1 nov. 2018 13:50:58,,,,,,gman999,
28304,Please deliver png when svg is filtered,Metrics/Relay Search,new,metrics-team,enhancement,Medium,,,Normal,,3 nov. 2018 19:58:04,23 nov. 2018 17:48:01,,,,,,traumschule,
28314,Alleged Family Members never disappear,Metrics/Onionoo,new,metrics-team,defect,Medium,,,Normal,,4 nov. 2018 18:10:58,12 nov. 2018 07:20:31,,,,,,Quake,
28321,Add bandwidth scanner data to Onionoo,Metrics/Onionoo,new,metrics-team,task,Medium,,,Normal,,5 nov. 2018 10:24:11,5 nov. 2018 10:24:11,,,,,,karsten,
28324,"Extend CollecTor to fetch recent, non-current consensuses and votes",Metrics/CollecTor,new,metrics-team,task,Medium,,,Normal,,5 nov. 2018 11:42:46,10 nov. 2018 14:24:56,,,,,,karsten,
28328,"Include ""total consensus"" split by relay type in vote totals graph",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,5 nov. 2018 13:37:25,11 nov. 2018 08:01:10,,,,,,starlight,
28342,Share more code between modules,Metrics/Statistics,new,metrics-team,project,Medium,,,Normal,,5 nov. 2018 21:21:36,23 nov. 2018 18:03:41,,,,,,karsten,
28352,"Add ""total consensus weight in consensus"" to ""Total consensus weight across bandwidth authorities""",Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,7 nov. 2018 04:56:05,10 nov. 2018 02:36:34,,#28328,,,,teor,
28403,Link to bandwidth files from Consensus Health,Metrics/Consensus Health,new,tom,enhancement,Medium,,,Normal,,12 nov. 2018 03:20:32,15 abr. 2019 22:39:37,,#25925,,,,teor,
28404,Link to descriptors from consensus health,Metrics/Consensus Health,new,tom,enhancement,Medium,,,Normal,,12 nov. 2018 03:30:22,13 nov. 2018 00:17:06,,,,,,teor,
28407,Host Name text area contains verified and unverified names on the same line,Metrics/Relay Search,new,metrics-team,defect,Medium,,,Normal,,12 nov. 2018 07:23:04,14 nov. 2018 00:59:46,,,,,,karsten,
28529,Confirm that the strange onionoo flood is resolved,Metrics/Analysis,new,metrics-team,task,Medium,,,Normal,,20 nov. 2018 00:24:54,11 mar. 2019 06:26:25,,,,,Sponsor19,arma,network-health
28555,Assess methodology for modern privcount Tor user counts,Metrics/Analysis,new,metrics-team,task,Medium,,,Normal,,21 nov. 2018 07:30:57,20 dic. 2018 21:36:11,,,,,Sponsor19,arma,censorship
28681,reflected XSS metrics.torproject.org,Metrics/Relay Search,new,metrics-team,defect,Medium,,,Major,,2 dic. 2018 07:41:05,3 dic. 2018 19:07:50,,,,,,0x539h,"xss, cross-site scripting"
28906,host_name search failing,Metrics/Relay Search,new,metrics-team,defect,Medium,,,Normal,,19 dic. 2018 23:42:53,19 dic. 2018 23:42:53,,,,,,phoul,
28963,Please add option to search for relays with fingerprint and nickname.,Metrics/Onionoo,new,metrics-team,enhancement,Medium,,,Normal,,30 dic. 2018 17:26:57,9 ene. 2019 08:01:18,,,,,,traumschule,
29330,Do something with advertised bandwidth distribution graphs,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,4 feb. 2019 19:20:16,7 mar. 2019 13:05:43,,,,,,karsten,
29340,Make the bandwidth graph more configurable,Metrics/Website,new,metrics-team,task,Medium,,,Normal,,5 feb. 2019 14:50:31,4 mar. 2019 08:40:16,,,,,,irl,
29342,Create additional information lookup service using remote APIs and local databases,Metrics/Ideas,new,metrics-team,task,Medium,,,Normal,,5 feb. 2019 15:18:41,5 feb. 2019 15:18:41,,,,,,karsten,
29343,"Run arthur's DNS timeout scanner, archive it in CollecTor, and add it to Onionoo",Metrics/Ideas,new,metrics-team,task,Medium,,,Normal,,5 feb. 2019 15:20:15,5 feb. 2019 15:20:15,,,,,,karsten,
29346,Document why our CSV files are in tidy/long format and how to process them,Metrics/Website,new,metrics-team,enhancement,Medium,,,Normal,,5 feb. 2019 20:38:48,11 feb. 2019 10:30:04,,,,,,karsten,
29365,Add digests and sizes to index.xml,Metrics/Onionperf,assigned,metrics-team,enhancement,Medium,,,Normal,,7 feb. 2019 08:50:23,7 feb. 2019 09:00:48,,,,,Sponsor13,irl,
29367,Port OnionPerf to Python 3,Metrics/Onionperf,assigned,metrics-team,project,Medium,,,Normal,,7 feb. 2019 08:52:49,7 feb. 2019 09:00:48,,,,,,irl,
29368,Add single onion service mode,Metrics/Onionperf,assigned,metrics-team,enhancement,Medium,,,Normal,,7 feb. 2019 08:54:02,7 feb. 2019 09:00:48,,,,,,irl,
29369,Fix message logging and filtering,Metrics/Onionperf,assigned,metrics-team,defect,Medium,,,Normal,,7 feb. 2019 08:54:58,7 feb. 2019 09:00:48,,,,,,irl,
29371,Relay blocklist,Metrics/Onionperf,assigned,metrics-team,enhancement,Medium,,,Normal,,7 feb. 2019 08:56:56,7 feb. 2019 09:00:48,,,,,,irl,
29375,Improve code documentation coverage for OnionPerf,Metrics/Onionperf,assigned,acute,enhancement,Medium,,,Normal,,7 feb. 2019 09:07:34,5 mar. 2019 19:07:06,,,,,,irl,acute-2019-q1-planned
29377,Improve unit test coverage,Metrics/Onionperf,assigned,acute,defect,Medium,,,Normal,,7 feb. 2019 09:09:02,23 abr. 2019 11:54:02,,,,,,irl,acute-2019-q1-planned
29425,Write integration tests for data-processing modules,Metrics/Statistics,needs_revision,karsten,enhancement,Medium,,,Normal,,7 feb. 2019 16:31:36,15 abr. 2019 14:18:49,,,8,irl,,karsten,metrics-roadmap-2019-q2
29457,Expose log_archive via the web server,Metrics/Onionperf,new,metrics-team,enhancement,Medium,,,Normal,,11 feb. 2019 09:14:15,11 feb. 2019 09:29:02,,,,,,karsten,
29461,Add a Snowflake module,Metrics/CollecTor,new,metrics-team,enhancement,Medium,,,Normal,,11 feb. 2019 12:28:02,11 feb. 2019 12:28:02,,,8,,,irl,metrics-roadmap-2019-q2
29463,"Prepare slides for PEARG meeting (IETF 104, March 2019)",Metrics/Analysis,new,metrics-team,task,Medium,,,Normal,,11 feb. 2019 12:46:07,11 feb. 2019 12:46:07,,,1,,,irl,metrics-outreach
29464,Make a how-to video for using Relay Search,Metrics/Relay Search,new,metrics-team,enhancement,Medium,,,Normal,,11 feb. 2019 13:18:59,11 feb. 2019 13:18:59,,,1,,,irl,
29466,Perform one-off page load time metrics using Tor Browser,Metrics/Analysis,new,metrics-team,task,Medium,,,Normal,,11 feb. 2019 13:48:21,11 feb. 2019 13:48:21,,,8,,,irl,
29486,"Replace ""brackets"" with ""parentheses""",Metrics/Relay Search,new,metrics-team,enhancement,Medium,,,Trivial,,12 feb. 2019 21:15:07,19 feb. 2019 04:41:10,,,,,,toralf,
29507,Evaluate existing OnionPerf data regarding worst-case performance,Metrics/Analysis,assigned,karsten,task,Medium,,,Normal,,14 feb. 2019 16:55:39,21 feb. 2019 16:04:31,,,3,,,karsten,"onionperf,metrics-roadmap-2019-q2"
29624,New version of exit list format,Metrics/Exit Scanner,needs_revision,irl,task,Medium,,,Normal,,1 mar. 2019 12:18:26,22 abr. 2019 15:26:16,,#29650,,irl,,irl,metrics-roadmap-2019-q2
29650,Rewrite exit scanner to produce exit lists according to new format,Metrics/Exit Scanner,new,metrics-team,project,Medium,,,Normal,,4 mar. 2019 13:52:38,4 mar. 2019 13:52:49,,,,,,irl,metrics-roadmap-2019-q2
29651,Design the new exit scanner architecture,Metrics/Exit Scanner,new,metrics-team,task,Medium,,,Normal,,4 mar. 2019 13:54:12,4 mar. 2019 13:54:12,,#29650,2,,,irl,metrics-roadmap-2019-q2
