id,Summary,Component,Status,Owner,Type,Priority,Milestone,Severity,Resolution,Actual Points,Points,Sponsor,Keywords
23790,rend_service_prune_list_impl_() doesn't copy over desc_is_dirty when copying intro points,Core Tor/Tor,closed,dgoulet,defect,Medium,Tor: 0.2.9.x-final,Normal,fixed,0.1,0.1,Sponsor27-can,"029-backport, 031-unreached-backport, consider-backport-after-0404"
26931,Wrong service-side HSv3 hash ring for HSv3 once a day (low impact),Core Tor/Tor,closed,,defect,Medium,Tor: 0.3.5.x-final,Normal,not a bug,,,Sponsor27-can,tor-hs hsv3 reachability
27680,Explain how to use auth cookie for onion services,Core Tor/Tor,closed,traumschule,enhancement,Medium,Tor: 0.4.1.x-final,Normal,fixed,,,Sponsor27-must,hs-auth
29237,Restore IPv6 intro points in the HS client tests,Core Tor/Tor,closed,teor,enhancement,Medium,Tor: 0.4.1.x-final,Normal,fixed,0,0,Sponsor27-must,"fast-fix, prop224, tor-hs, single-onion, ipv6, 034-triage-20180328, 034-removed-20180328, 040-unreached-20190109, 041-proposed, v3-onion-service-feature-parity-can"
28806,checkIncludes.py does not like code in src/ext/timeouts,Core Tor/Tor,closed,nickm,defect,Low,Tor: 0.4.1.x-final,Normal,fixed,0.1,0.1,Sponsor31-can,asn-merge
29108,Refactor crypto_digest.c to have fewer ifdefs,Core Tor/Tor,closed,rl1987,enhancement,Medium,Tor: 0.4.1.x-final,Normal,implemented,,1,Sponsor31-can,"nickm-merge, asn-merge, 041-proposed, refactor, technical-debt"
29922,util/time test failure on Jenkins,Core Tor/Tor,closed,nickm,defect,Medium,Tor: 0.3.5.x-final,Normal,fixed,0.5,1,Sponsor31-can,"040-must, 035-backport, 040-backport, tor-ci-fail"
29926,shellcheck: asciidoc-helper.sh issues,Core Tor/Tor,closed,rl1987,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,0.1,0.1,Sponsor31-can,
29938,pubsub: coverity sees a null pointer deref in lint_message_consistency (CID 1444257),Core Tor/Tor,closed,nickm,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,0.1,0.1,Sponsor31-can,
29960,Actually check for errors in digest256_to_base64() and callers,Core Tor/Tor,closed,teor,enhancement,Medium,Tor: 0.4.1.x-final,Normal,fixed,0.4,0.2,Sponsor31-can,"asn-merge, technical-debt, fast-fix"
30261,"Add ""How do I find bug or feature versions?"" to doc/HACKING",Core Tor/Tor,closed,teor,enhancement,Medium,Tor: 0.4.1.x-final,Normal,implemented,0.1,0.1,Sponsor31-can,"doc, fast-fix"
30263,make shellcheck expects scripts in the build directory,Core Tor/Tor,closed,,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,0.1,0.1,Sponsor31-can,"shellcheck, 040-backport, 040-must, tor-ci-might-fail-on-upgrade, regression"
30051,Add practracker as a pre-commit and pre-push git hook for frequent coders,Core Tor/Tor,closed,rl1987,enhancement,High,Tor: 0.4.1.x-final,Normal,implemented,,1,Sponsor31-must,practracker tech-debt tor-ci git-scripts tor-ci-fail-sometimes
20132,Let large client deployments use a local directory cache,Core Tor/Tor,closed,,enhancement,Medium,Tor: unspecified,Normal,duplicate,,1,Sponsor4-can,"tor-hs, tor2web, single-onion, tor-client, efficiency, needs-design"
28405,Unable to parse networkstatus consensus (related to CR in time field),Core Tor/Tor,closed,,defect,Medium,Tor: unspecified,Normal,duplicate,,,Sponsor8,
