id,Summary,Sponsor,Status,Owner,Type,Priority,Milestone,Component,Severity,Keywords
25628,Document our Rust coding standards for error/failure types,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"rust, tor-doc, 034-triage-20180328, 034-removed-20180328"
25713,"""DisableNetwork is set"" log message in Tor Browser scares/confuses users",Sponsor8-can,new,,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"ux-team, s8-errors"
26070,Remove remaining items from second_elapsed_callback and run_scheduled_events.,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,035-removed-20180711
26242,Implement update strategy for TBA,Sponsor8,new,tbb-team,defect,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901"
26318,TBA - Consider different installation methods,Sponsor8,new,tbb-team,enhancement,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901"
26337,Investigate making rust error types use the failure crate,Sponsor8-can,needs_information,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"rust, technical-debt, tor-modularity, 035-removed-20180711"
26376,add cross compiling docs,Sponsor8-can,needs_information,Hello71,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
26536,Create APK signing keys,Sponsor8,needs_information,tbb-team,task,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3"
26574,Save TBA updates in the internal android storage,Sponsor8,needs_review,tbb-team,defect,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901R"
26578,Do clients request new consensus documents more often than we expect?,Sponsor8-can,new,,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
26999,tor_api: Some way to capture stdout/stderr,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,
27241,Extract information from more kinds of wedged directory connections.,Sponsor8-can,needs_information,nickm,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"fast-fix, 035-deferred-20180930"
27243,Keep much less directory info in RAM on clients,Sponsor8,new,,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"035-roadmap-master, 035-triaged-in-20180711"
27245,Don't store (micro)descriptor text on the heap so much.,Sponsor8-can,accepted,nickm,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,"035-roadmap-master, 035-triaged-in-20180711"
27248,Can we make our node-related structures more efficient?,Sponsor8-can,new,,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"035-roadmap-master, 035-triaged-in-20180711"
27381,Bad consensus diffs on 0.3.4 and later [with chutney],Sponsor8-can,assigned,teor,defect,Medium,Tor: 0.3.5.x-final,Core Tor/Tor,Normal,tor-auth
27539,Create plan for releasing on F-Droid,Sponsor8,new,tbb-team,enhancement,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3"
27563,cached_dir_t for consensus is redundant with conscache code,Sponsor8-can,new,,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
27691,reset bootstrap progress when enough things change,Sponsor8-can,new,,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"usability, ux, ux-team, bootstrap, 035-roadmap-master, 035-triaged-in-20180711, s8-bootstrap, 035-deferred-20180930, bootstrap-arch"
27801,tor_api: CreateConnection() interface,Sponsor8-can,new,,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
28145,TBA: Add support/Tor Browser Manual links,Sponsor8,new,tbb-team,task,Medium,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901"
28179,Handle output from PT processes with the event loop,Sponsor8-must,assigned,ahf,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"tor-pt, 040-roadmap-subtask"
